,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
3,2019,4,Home,CLE,L,40-25,1,1,9,9,9,0,0,0,0,0,0,0,0
4,2019,5,Away,PIT,W,26-23,0,2,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Home,CIN,W,17-23,2,4,18,9,9,0,0,0,0,0,0,0,0
6,2019,7,Away,SEA,W,30-16,1,1,20,20,20,0,0,0,0,0,0,0,0
7,2019,9,Home,NE,W,20-37,5,5,27,5.4,8,1,0,0,0,0,0,0,0
8,2019,10,Away,CIN,W,49-13,4,4,78,19.5,35,0,0,0,0,0,0,0,0
9,2019,11,Home,HOU,W,7-41,2,3,20,10,13,0,0,0,0,0,0,0,0
10,2019,12,Away,LAR,W,45-6,1,1,7,7,7,0,0,0,0,0,0,0,0
11,2019,13,Home,SF,W,17-20,1,2,4,4,4,0,0,0,0,0,0,0,0
12,2019,14,Away,BUF,W,24-17,2,3,10,5,7,1,0,0,0,0,0,0,0
13,2019,15,Home,NYJ,W,21-42,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,CLE,W,31-15,3,4,24,8,16,0,0,0,0,0,0,0,0
15,2019,17,Home,PIT,W,10-28,1,2,6,6,6,0,0,0,0,0,0,0,0
