,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
10,2016,12,Away,DET,L,13-16,1,2,21,21,21,0,0,0,0,0,0,0,0
11,2016,13,Home,DAL,L,17-15,1,1,6,6,6,0,0,0,0,0,0,0,0
12,2016,14,Away,JAC,W,25-16,1,2,0,0,0,0,0,0,0,0,0,0,0
13,2016,15,Home,IND,L,34-6,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016,16,Away,GB,L,25-38,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2016,17,Home,CHI,W,10-38,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2017,1,Away,DAL,L,3-19,1,1,9,9,9,0,0,0,0,0,0,0,0
1,2017,2,Home,DET,L,24-10,2,2,21,10.5,12,0,0,0,0,0,0,0,0
2,2017,3,Away,PHI,L,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Away,TB,L,23-25,2,2,11,5.5,9,1,0,0,0,0,0,0,0
4,2017,5,Home,LAC,L,27-22,1,2,9,9,9,0,0,0,0,0,0,0,0
5,2017,6,Away,DEN,W,23-10,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,7,Home,SEA,L,24-7,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2017,9,Home,LAR,L,51-17,2,2,21,10.5,14,0,0,0,0,0,0,0,0
8,2017,10,Away,SF,L,21-31,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,11,Home,KC,W,9-12,1,1,7,7,7,0,0,0,0,0,0,0,0
10,2017,12,Away,WAS,L,10-20,1,1,9,9,9,0,0,0,0,0,0,0,0
11,2017,13,Away,OAK,L,17-24,1,2,5,5,5,0,0,0,0,0,0,0,0
12,2017,14,Home,DAL,L,30-10,4,5,20,5,8,1,0,0,0,0,0,0,0
13,2017,15,Home,PHI,L,34-29,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Away,ARI,L,0-23,4,7,60,15,27,0,0,0,0,0,0,0,0
15,2017,17,Home,WAS,W,10-18,5,6,63,12.6,17,0,0,0,0,0,0,0,0
0,2018,1,Home,JAC,L,20-15,1,1,16,16,16,0,0,0,0,0,0,0,0
1,2018,2,Away,DAL,L,13-20,2,2,5,2.5,3,0,0,0,0,0,0,0,0
2,2018,3,Away,HOU,W,27-22,3,3,39,13,17,1,0,0,0,0,0,0,0
3,2018,4,Home,NO,L,33-18,3,5,29,9.7,11,0,0,0,0,0,0,0,0
4,2018,5,Away,CAR,L,31-33,2,3,17,8.5,12,0,0,0,0,0,0,0,0
5,2018,6,Away,NYG,L,34-13,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Away,ATL,L,20-23,2,2,11,5.5,7,0,0,0,0,0,0,0,0
7,2018,8,Home,WAS,L,20-13,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2018,10,Away,SF,W,27-23,1,1,6,6,6,0,0,0,0,0,0,0,0
9,2018,11,Home,TB,W,35-38,1,1,12,12,12,0,0,0,0,0,0,0,0
10,2018,12,Away,PHI,L,22-25,4,6,77,19.3,29,0,0,0,0,0,0,0,0
11,2018,13,Home,CHI,W,27-30,4,7,42,10.5,15,0,0,0,0,0,0,0,0
12,2018,14,Away,WAS,W,40-16,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Home,TEN,L,17-0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Away,IND,L,27-28,2,2,18,9,16,0,0,0,0,0,0,0,0
15,2018,17,Away,NYG,L,36-35,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,DAL,L,17-35,1,2,8,8,8,0,0,0,0,0,0,0,0
1,2019,2,Home,BUF,L,28-14,1,1,8,8,8,0,0,0,0,0,0,0,0
2,2019,3,Away,TB,W,32-31,1,1,3,3,3,0,0,0,0,0,0,0,0
3,2019,4,Home,WAS,W,3-24,3,4,24,8,22,0,0,0,0,0,0,0,0
4,2019,5,Home,MIN,L,28-10,1,1,3,3,3,0,0,0,0,0,0,0,0
