,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
3,2018,4,Away,OAK,L,42-45,1,2,49,49,49,1,0,0,0,0,0,0,0
4,2018,5,Home,BAL,W,9-12,1,1,8,8,8,0,0,0,0,0,0,0,0
5,2018,6,Home,LAC,L,38-14,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Away,TB,L,23-26,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Away,PIT,L,18-33,1,1,6,6,6,0,0,0,0,0,0,0,0
8,2018,9,Home,KC,L,37-21,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,10,Home,ATL,W,16-28,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Away,CIN,W,35-20,1,1,6,6,6,1,0,0,0,0,0,0,0
11,2018,13,Away,HOU,L,13-29,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Home,CAR,W,20-26,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Away,DEN,W,17-16,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Home,CIN,W,18-26,3,3,18,6,9,1,0,0,0,0,0,0,0
15,2018,17,Away,BAL,L,24-26,1,1,3,3,3,0,0,0,0,0,0,0,0
0,2019,1,Away,NO,L,28-30,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,JAC,W,12-13,1,3,9,9,9,0,0,0,0,0,0,0,0
2,2019,3,Away,LAC,W,27-20,5,6,49,9.8,16,1,0,0,0,0,0,0,0
3,2019,4,Home,CAR,L,16-10,1,1,12,12,12,0,0,0,0,0,0,0,0
4,2019,5,Home,ATL,W,32-53,2,2,20,10,12,2,0,0,0,0,0,0,0
5,2019,6,Away,KC,W,31-24,6,7,69,11.5,18,0,0,0,0,0,0,0,0
6,2019,7,Away,IND,L,23-30,2,2,27,13.5,19,0,0,0,0,0,0,0,0
7,2019,8,Home,OAK,W,24-27,6,6,58,9.7,23,2,0,0,0,0,0,0,0
8,2019,9,Away,JAC,W,26-3,1,3,1,1,1,1,0,0,0,0,0,0,0
9,2019,11,Away,BAL,L,7-41,1,3,18,18,18,0,0,0,0,0,0,0,0
10,2019,12,Home,IND,W,17-20,1,2,24,24,24,0,0,0,0,0,0,0,0
11,2019,13,Home,NE,W,22-28,2,3,23,11.5,13,1,0,0,0,0,0,0,0
12,2019,14,Home,DEN,L,38-24,2,4,2,1,2,0,0,0,0,0,0,0,0
13,2019,15,Away,TEN,W,24-21,1,2,2,2,2,0,0,0,0,0,0,0,0
14,2019,16,Away,TB,W,23-20,3,3,27,9,17,0,0,0,0,0,0,0,0
15,2019,17,Home,TEN,L,35-14,0,0,0,0,0,0,0,0,0,0,0,0,0
