,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
3,2017,4,Home,OAK,W,10-16,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,6,Home,NYG,L,23-10,1,1,24,24,24,0,0,0,0,0,0,0,0
5,2017,7,Away,LAC,L,0-21,1,2,7,7,7,0,0,0,0,0,0,0,0
6,2017,8,Away,KC,L,19-29,1,2,16,16,16,0,0,0,0,0,0,0,0
7,2017,9,Away,PHI,L,23-51,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017,10,Home,NE,L,41-16,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,11,Home,CIN,L,20-17,2,4,13,6.5,8,0,0,0,0,0,0,0,0
10,2017,12,Away,OAK,L,14-21,1,3,16,16,16,0,0,0,0,0,0,0,0
11,2017,13,Away,MIA,L,9-35,1,1,36,36,36,0,0,0,0,0,0,0,0
12,2017,14,Home,NYJ,W,0-23,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2017,15,Away,IND,W,25-13,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Away,WAS,L,11-27,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Home,KC,L,27-24,1,1,6,6,6,0,0,0,0,0,0,0,0
0,2018,1,Home,KC,L,38-28,2,2,21,10.5,15,0,0,0,0,0,0,0,0
1,2018,2,Away,BUF,W,31-20,3,3,55,18.3,25,0,0,0,0,0,0,0,0
2,2018,3,Away,LAR,L,23-35,1,1,6,6,6,0,0,0,0,0,0,0,0
3,2018,4,Home,SF,W,27-29,2,2,9,4.5,10,0,0,0,0,0,0,0,0
4,2018,5,Home,OAK,W,10-26,1,1,13,13,13,1,0,0,0,0,0,0,0
5,2018,6,Away,CLE,W,38-14,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Home,TEN,W,19-20,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2018,9,Away,SEA,W,25-17,2,3,28,14,22,0,0,0,0,0,0,0,0
8,2018,10,Away,OAK,W,20-6,2,3,30,15,23,0,0,0,0,0,0,0,0
9,2018,11,Home,DEN,L,23-22,2,4,27,13.5,26,0,0,0,0,0,0,0,0
10,2018,12,Home,ARI,W,10-45,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Away,PIT,W,33-30,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Home,CIN,W,21-26,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Away,KC,W,29-28,2,3,9,4.5,6,0,0,0,0,0,0,0,0
14,2018,16,Home,BAL,L,22-10,2,2,12,6,9,0,0,0,0,0,0,0,0
15,2018,17,Away,DEN,W,23-9,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Home,IND,W,24-30,1,1,4,4,4,0,0,0,0,0,0,0,0
1,2019,2,Away,DET,L,10-13,1,2,9,9,9,0,0,0,0,0,0,0,0
2,2019,3,Home,HOU,L,27-20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Away,MIA,W,30-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,DEN,L,20-13,1,1,5,5,5,0,0,0,0,0,0,0,0
5,2019,6,Home,PIT,L,24-17,1,2,15,15,15,0,0,0,0,0,0,0,0
6,2019,7,Away,TEN,L,20-23,1,1,9,9,9,0,0,0,0,0,0,0,0
7,2019,8,Away,CHI,W,17-16,1,1,10,10,10,0,0,0,0,0,0,0,0
8,2019,9,Home,GB,W,11-26,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,10,Away,OAK,L,24-26,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,11,Home,KC,L,24-17,1,1,8,8,8,0,0,0,0,0,0,0,0
11,2019,13,Away,DEN,L,20-23,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Away,JAC,W,45-10,1,1,14,14,14,1,0,0,0,0,0,0,0
13,2019,15,Home,MIN,L,39-10,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Home,OAK,L,24-17,1,1,4,4,4,0,0,0,0,0,0,0,0
15,2019,17,Away,KC,L,21-31,0,1,0,0,0,0,0,0,0,0,0,0,0
