,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
5,2014,6,Home,DET,L,17-3,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2014,7,Away,BUF,L,16-17,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2014,8,Away,TB,W,19-13,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2014,9,Home,WAS,W,26-29,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2014,11,Away,CHI,L,13-21,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2014,12,Home,GB,L,24-21,3,5,50,16.7,23,0,0,0,0,0,0,0,0
11,2014,13,Home,CAR,W,13-31,2,3,7,3.5,4,1,0,0,0,0,0,1,0
12,2014,14,Home,NYJ,W,24-30,2,2,9,4.5,6,0,0,0,0,0,0,0,0
13,2014,15,Away,DET,L,14-16,7,7,69,9.9,21,0,0,0,0,0,0,0,0
14,2014,16,Away,MIA,L,35-37,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2014,17,Home,CHI,W,9-13,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2015,1,Away,SF,L,3-20,5,7,53,10.6,19,0,0,0,0,0,0,0,0
1,2015,2,Home,DET,W,16-26,5,7,30,6,11,1,0,0,0,0,0,0,0
2,2015,3,Home,SD,W,14-31,2,5,14,7,10,0,0,0,0,0,0,0,0
3,2015,4,Away,DEN,L,20-23,2,4,7,3.5,6,0,0,0,0,0,0,0,0
4,2015,6,Home,KC,W,10-16,2,5,9,4.5,5,1,0,0,0,0,0,0,0
5,2015,7,Away,DET,W,28-19,2,2,10,5,9,1,0,0,0,0,0,0,0
6,2015,8,Away,CHI,W,23-20,2,2,22,11,16,0,0,0,0,0,0,0,0
7,2015,9,Home,STL,W,18-21,2,2,30,15,15,0,0,0,0,0,0,0,0
8,2015,10,Away,OAK,W,30-14,1,4,7,7,7,0,0,0,0,0,0,0,0
9,2015,11,Home,GB,L,30-13,6,9,106,17.7,47,1,0,0,0,0,0,0,0
10,2015,12,Away,ATL,W,20-10,7,10,53,7.6,13,0,0,0,0,0,0,0,0
11,2015,13,Home,SEA,L,38-7,3,4,13,4.3,6,0,0,0,0,0,0,0,0
12,2015,14,Away,ARI,L,20-23,6,6,67,11.2,17,0,0,0,0,0,0,0,0
13,2015,15,Home,CHI,W,17-38,2,2,21,10.5,12,0,0,0,0,0,0,0,0
14,2015,16,Home,NYG,W,17-49,2,3,53,26.5,28,1,0,0,0,0,0,0,0
15,2015,17,Away,GB,W,20-13,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2016,1,Away,TEN,W,25-16,4,8,65,16.3,21,0,0,0,0,0,0,0,0
1,2016,2,Home,GB,W,14-17,3,8,31,10.3,19,1,0,0,0,0,0,0,0
2,2016,3,Away,CAR,W,22-10,7,10,70,10,18,1,0,0,0,0,0,0,0
3,2016,4,Home,NYG,W,10-24,5,7,55,11,16,1,0,0,0,0,0,0,0
4,2016,5,Home,HOU,W,13-31,2,4,15,7.5,14,0,0,0,0,0,0,0,0
5,2016,7,Away,PHI,L,10-21,5,11,55,11,22,0,0,0,0,0,0,0,0
6,2016,8,Away,CHI,L,10-20,5,6,31,6.2,11,0,0,0,0,0,0,0,0
7,2016,9,Home,DET,L,22-16,1,3,1,1,1,1,0,0,0,0,0,0,0
8,2016,10,Away,WAS,L,20-26,5,8,69,13.8,20,1,0,0,0,0,0,0,0
9,2016,11,Home,ARI,W,24-30,2,3,12,6,8,0,0,0,0,0,0,0,0
10,2016,12,Away,DET,L,13-16,9,10,64,7.1,18,0,0,0,0,0,0,0,0
11,2016,13,Home,DAL,L,17-15,6,12,45,7.5,17,0,0,0,0,0,0,0,0
12,2016,14,Away,JAC,W,25-16,4,8,60,15,44,1,0,0,0,0,0,0,0
13,2016,15,Home,IND,L,34-6,8,10,97,12.1,28,0,0,0,0,0,0,0,0
14,2016,16,Away,GB,L,25-38,6,9,53,8.8,21,0,0,0,0,0,0,0,0
15,2016,17,Home,CHI,W,10-38,11,15,117,10.6,22,1,0,0,0,0,0,0,0
0,2017,1,Home,NO,W,19-29,3,3,26,8.7,15,1,0,0,0,0,0,0,0
1,2017,2,Away,PIT,L,9-26,4,6,45,11.3,27,0,0,0,0,0,0,0,0
2,2017,3,Home,TB,W,17-34,1,2,4,4,4,0,0,0,0,0,0,0,0
3,2017,4,Home,DET,L,14-7,2,4,34,17,19,0,0,0,0,0,0,0,0
4,2017,5,Away,CHI,W,20-17,6,9,45,7.5,13,1,0,0,0,0,0,0,0
5,2017,6,Home,GB,W,10-23,5,9,47,9.4,16,0,0,0,0,0,0,0,0
6,2017,7,Home,BAL,W,16-24,5,7,43,8.6,19,0,0,0,0,0,0,0,0
7,2017,8,Away,CLE,W,33-16,6,7,27,4.5,6,1,0,0,0,0,0,0,0
8,2017,10,Away,WAS,W,38-30,5,7,37,7.4,12,0,0,0,0,0,0,0,0
9,2017,11,Home,LAR,W,7-24,5,7,58,11.6,28,0,0,0,0,0,0,0,0
10,2017,12,Away,DET,W,30-23,4,4,63,15.8,34,2,0,0,0,0,0,0,0
11,2017,13,Away,ATL,W,14-9,4,5,36,9,16,1,0,0,0,0,0,0,0
12,2017,14,Away,CAR,L,24-31,3,5,41,13.7,18,1,0,0,0,0,0,0,0
13,2017,15,Home,CIN,W,7-34,2,2,17,8.5,16,1,0,0,0,0,0,0,0
14,2017,16,Away,GB,W,16-0,1,1,6,6,6,0,0,0,0,0,0,0,0
15,2017,17,Home,CHI,W,10-23,1,3,3,3,3,0,0,0,0,0,0,0,0
0,2018,1,Home,SF,W,16-24,1,2,11,11,11,1,0,0,0,0,0,0,0
1,2018,2,Away,GB,T,29-29,7,8,72,10.3,23,0,0,0,0,0,0,0,0
2,2018,3,Home,BUF,L,27-6,5,6,48,9.6,17,1,0,0,0,0,0,0,0
3,2018,4,Away,LAR,L,31-38,5,6,57,11.4,24,0,0,0,0,0,0,0,0
4,2018,5,Away,PHI,W,23-21,5,5,41,8.2,17,0,0,0,0,0,0,0,0
5,2018,6,Home,ARI,W,17-27,4,5,37,9.3,17,0,0,0,0,0,0,0,0
6,2018,7,Away,NYJ,W,37-17,1,4,16,16,16,0,0,0,0,0,0,0,0
7,2018,8,Home,NO,L,30-20,4,7,39,9.8,25,0,0,0,0,0,0,0,0
8,2018,9,Home,DET,W,9-24,2,2,28,14,24,0,0,0,0,0,0,0,0
9,2018,11,Away,CHI,L,20-25,2,5,13,6.5,7,0,0,0,0,0,0,0,0
10,2018,12,Home,GB,W,17-24,7,7,63,9,17,0,0,0,0,0,0,0,0
11,2018,13,Away,NE,L,10-24,3,3,38,12.7,23,0,0,0,0,0,0,0,0
12,2018,14,Away,SEA,L,7-21,2,5,7,3.5,5,0,0,0,0,0,0,0,0
13,2018,15,Home,MIA,W,17-41,3,3,23,7.7,12,0,0,0,0,0,0,0,0
14,2018,16,Away,DET,W,27-9,9,9,122,13.6,44,2,0,0,0,0,0,0,0
15,2018,17,Home,CHI,L,24-10,4,5,19,4.8,9,0,0,0,0,0,0,0,0
0,2019,1,Home,ATL,W,12-28,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,GB,L,16-21,3,4,9,3,5,0,0,0,0,0,0,0,0
2,2019,3,Home,OAK,W,14-34,1,1,11,11,11,0,0,0,0,0,0,0,0
3,2019,4,Away,CHI,L,6-16,1,1,12,12,12,0,0,0,0,0,0,0,0
4,2019,5,Away,NYG,W,28-10,1,1,4,4,4,0,0,0,0,0,0,0,0
5,2019,6,Home,PHI,W,20-38,3,3,36,12,18,0,0,0,0,0,0,0,0
6,2019,7,Away,DET,W,42-30,5,6,58,11.6,15,1,0,0,0,0,0,0,0
7,2019,8,Home,WAS,W,9-19,3,3,17,5.7,7,0,0,0,0,0,0,0,0
8,2019,9,Away,KC,L,23-26,3,5,23,7.7,15,1,0,0,0,0,0,0,0
9,2019,10,Away,DAL,W,28-24,4,5,14,3.5,7,2,0,0,0,0,0,0,0
10,2019,11,Home,DEN,W,23-27,5,5,67,13.4,32,1,0,0,0,0,0,0,0
11,2019,13,Away,SEA,L,30-37,4,6,50,12.5,19,1,0,0,0,0,0,0,0
12,2019,14,Home,DET,W,7-20,2,2,11,5.5,8,0,0,0,0,0,0,0,0
13,2019,15,Away,LAC,W,39-10,3,3,48,16,22,0,0,0,0,0,0,0,0
14,2019,16,Home,GB,L,23-10,1,2,7,7,7,0,0,0,0,0,0,0,0
15,2019,17,Home,CHI,L,21-19,0,0,0,0,0,0,0,0,0,0,0,0,0
