,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
2,2018,3,Away,PHI,L,16-20,5,11,33,6.6,9,0,0,0,0,0,0,0,0
3,2018,4,Home,HOU,L,37-34,5,10,40,8,12,1,0,0,0,0,0,0,0
4,2018,5,Away,NE,L,24-38,9,15,105,11.7,28,2,0,0,0,0,0,0,0
5,2018,6,Away,NYJ,L,34-42,4,7,71,17.8,19,1,1,-1,-1,-1,0,0,0
6,2018,7,Home,BUF,W,5-37,3,7,31,10.3,14,0,0,0,0,0,0,0,0
7,2018,8,Away,OAK,W,42-28,3,3,37,12.3,20,1,0,0,0,0,0,0,0
8,2018,10,Home,JAC,W,26-29,3,3,69,23,53,2,1,2,2,2,1,0,0
9,2018,11,Home,TEN,W,10-38,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Home,MIA,W,24-27,5,7,45,9,14,2,0,0,0,0,0,0,0
11,2018,13,Away,JAC,L,0-6,10,16,81,8.1,20,0,1,-9,-9,-9,0,1,1
12,2018,14,Away,HOU,W,24-21,4,8,65,16.3,23,1,0,0,0,0,0,0,0
13,2018,15,Home,DAL,W,0-23,1,3,8,8,8,0,0,0,0,0,0,0,0
14,2018,16,Home,NYG,W,27-28,3,5,28,9.3,14,0,0,0,0,0,0,0,0
15,2018,17,Away,TEN,W,33-17,4,6,60,15,22,1,0,0,0,0,0,0,0
0,2019,1,Away,LAC,L,24-30,1,3,8,8,8,0,0,0,0,0,0,0,0
1,2019,2,Away,TEN,W,19-17,3,4,25,8.3,13,1,0,0,0,0,0,0,0
2,2019,3,Home,ATL,W,24-27,3,4,47,15.7,30,0,0,0,0,0,0,0,0
3,2019,4,Home,OAK,L,31-24,1,5,48,48,48,1,0,0,0,0,0,0,0
4,2019,5,Away,KC,W,19-13,1,4,8,8,8,0,0,0,0,0,0,0,0
5,2019,7,Home,HOU,W,23-30,4,5,70,17.5,33,1,0,0,0,0,0,0,0
6,2019,8,Home,DEN,W,13-15,3,4,26,8.7,12,0,0,0,0,0,0,0,0
7,2019,9,Away,PIT,L,24-26,2,2,16,8,9,0,0,0,0,0,0,0,0
8,2019,10,Home,MIA,L,16-12,5,12,56,11.2,23,0,0,0,0,0,0,0,0
9,2019,11,Home,JAC,W,13-33,4,4,27,6.8,14,0,0,0,0,0,0,0,0
10,2019,12,Away,HOU,L,17-20,4,5,44,11,14,0,0,0,0,0,0,0,0
11,2019,13,Away,IND,L,31-17,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,TB,L,35-38,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,NO,L,7-34,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,IND,W,6-38,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,JAC,L,20-38,-,-,-,-,-,-,-,-,-,-,-,-,-
