,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
1,2017,2,Home,SF,W,9-12,1,2,1,1,1,0,0,0,0,0,0,0,0
2,2017,3,Away,TEN,L,27-33,7,11,72,10.3,26,0,0,0,0,0,0,0,0
3,2017,4,Home,IND,W,18-46,4,6,61,15.3,33,0,0,0,0,0,0,0,0
4,2017,5,Away,LAR,W,16-10,6,8,37,6.2,9,1,0,0,0,0,0,0,0
5,2017,7,Away,NYG,W,24-7,3,6,51,17,29,1,0,0,0,0,0,0,0
6,2017,8,Home,HOU,W,38-41,4,5,39,9.8,18,2,0,0,0,0,0,0,0
7,2017,9,Home,WAS,L,17-14,5,8,59,11.8,21,0,0,0,0,0,0,0,0
8,2017,10,Away,ARI,W,22-16,6,9,27,4.5,6,2,0,0,0,0,0,0,0
9,2017,11,Home,ATL,L,34-31,7,11,58,8.3,12,1,0,0,0,0,0,0,0
10,2017,12,Away,SF,W,24-13,3,6,34,11.3,25,1,0,0,0,0,0,0,0
11,2017,13,Home,PHI,W,10-24,3,4,26,8.7,11,1,0,0,0,0,0,0,0
12,2017,14,Away,JAC,L,24-30,0,2,0,0,0,0,0,0,0,0,0,0,0
13,2017,15,Home,LAR,L,42-7,1,3,-1,-1,-1,0,0,0,0,0,0,0,0
14,2017,16,Away,DAL,W,21-12,1,1,3,3,3,1,0,0,0,0,0,0,0
15,2017,17,Home,ARI,L,26-24,3,6,45,15,21,0,0,0,0,0,0,0,0
0,2018,1,Home,CHI,W,23-24,2,4,8,4,7,0,0,0,0,0,0,0,0
1,2018,2,Home,MIN,T,29-29,6,8,95,15.8,34,0,0,0,0,0,0,0,0
2,2018,3,Away,WAS,L,17-31,5,7,45,9,18,0,0,0,0,0,0,0,0
3,2018,4,Home,BUF,W,0-22,3,6,21,7,13,1,0,0,0,0,0,0,0
4,2018,5,Away,DET,L,23-31,6,11,76,12.7,24,0,0,0,0,0,0,0,0
5,2018,6,Home,SF,W,30-33,5,9,104,20.8,54,0,0,0,0,0,0,0,0
6,2018,8,Away,LAR,L,27-29,1,4,21,21,21,0,0,0,0,0,0,0,0
7,2018,9,Away,NE,L,17-31,4,6,55,13.8,19,1,0,0,0,0,0,0,0
8,2018,10,Home,MIA,W,12-31,1,1,14,14,14,0,0,0,0,0,0,0,0
9,2018,11,Away,SEA,L,24-27,1,1,13,13,13,0,0,0,0,0,0,0,0
10,2018,12,Away,MIN,L,17-24,2,4,34,17,25,0,0,0,0,0,0,0,0
11,2018,13,Home,ARI,L,20-17,8,11,50,6.3,10,0,0,0,0,0,0,0,0
12,2018,14,Home,ATL,W,20-34,2,5,13,6.5,8,0,0,0,0,0,0,0,0
13,2018,15,Away,CHI,L,17-24,3,4,32,10.7,13,0,0,0,0,0,0,0,0
14,2018,16,Away,NYJ,W,44-38,3,4,34,11.3,16,0,0,0,0,0,0,0,0
15,2018,17,Home,DET,L,31-0,3,5,21,7,16,0,0,0,0,0,0,0,0
0,2019,1,Away,CHI,W,10-3,3,5,30,10,16,1,0,0,0,0,0,0,0
1,2019,2,Home,MIN,W,16-21,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Home,DEN,W,16-27,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Home,PHI,L,34-27,6,9,61,10.2,15,1,0,0,0,0,0,0,0
4,2019,5,Away,DAL,W,34-24,3,3,41,13.7,23,0,0,0,0,0,0,0,0
5,2019,6,Home,DET,W,22-23,2,5,17,8.5,9,0,0,0,0,0,0,0,0
6,2019,7,Home,OAK,W,24-42,4,4,65,16.3,29,1,0,0,0,0,0,0,0
7,2019,8,Away,KC,W,31-24,3,5,20,6.7,11,0,0,0,0,0,0,0,0
8,2019,9,Away,LAC,L,11-26,4,4,17,4.3,7,0,0,0,0,0,0,0,0
9,2019,10,Home,CAR,W,16-24,2,3,59,29.5,48,0,0,0,0,0,0,0,0
10,2019,12,Away,SF,L,8-37,1,2,7,7,7,0,0,0,0,0,0,0,0
11,2019,13,Away,NYG,W,31-13,1,1,16,16,16,0,0,0,0,0,0,0,0
12,2019,14,Home,WAS,W,15-20,3,5,49,16.3,25,0,0,0,0,0,0,0,0
13,2019,15,Home,CHI,W,13-21,1,4,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,MIN,W,23-10,1,1,16,16,16,0,0,0,0,0,0,1,0
15,2019,17,Away,DET,W,23-20,4,7,49,12.3,20,0,0,0,0,0,0,0,0
