,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
13,2016,15,Away,CIN,W,24-20,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2016,16,Home,BAL,W,27-31,4,5,49,12.3,21,0,0,0,0,0,0,0,0
15,2016,17,Home,CLE,W,24-27,2,3,16,8,14,0,0,0,0,0,0,0,0
0,2017,1,Away,CLE,W,21-18,6,8,41,6.8,19,2,0,0,0,0,0,0,0
1,2017,2,Home,MIN,W,9-26,4,5,27,6.8,12,0,0,0,0,0,0,0,0
2,2017,3,Away,CHI,L,17-23,2,4,19,9.5,14,0,0,0,0,0,0,0,0
3,2017,4,Away,BAL,W,26-9,3,3,40,13.3,18,0,0,0,0,0,0,0,0
4,2017,5,Home,JAC,L,30-9,3,5,24,8,15,0,0,0,0,0,0,0,0
5,2017,6,Away,KC,W,19-13,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,7,Home,CIN,W,14-29,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,8,Away,DET,W,20-15,2,3,42,21,32,0,0,0,0,0,0,0,0
8,2017,10,Away,IND,W,20-17,0,2,0,0,0,0,0,0,0,0,0,0,0
9,2017,11,Home,TEN,W,17-40,5,8,21,4.2,11,1,0,0,0,0,0,0,0
10,2017,12,Home,GB,W,28-31,3,4,32,10.7,17,0,0,0,0,0,0,0,0
11,2017,13,Away,CIN,W,23-20,1,1,13,13,13,0,0,0,0,0,0,0,0
12,2017,14,Home,BAL,W,38-39,10,12,97,9.7,18,0,0,0,0,0,0,0,0
13,2017,15,Home,NE,L,27-24,2,5,7,3.5,6,0,0,0,0,0,0,0,0
14,2017,16,Away,HOU,W,34-6,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Home,CLE,W,24-28,2,2,9,4.5,7,0,0,0,0,0,0,0,0
0,2018,1,Away,CLE,T,21-21,3,5,60,20,37,0,0,0,0,0,0,0,0
1,2018,2,Home,KC,L,42-37,5,5,138,27.6,46,1,0,0,0,0,0,0,0
2,2018,3,Away,TB,W,30-27,1,1,7,7,7,0,0,0,0,0,0,0,0
3,2018,4,Home,BAL,L,26-14,1,1,23,23,23,0,0,0,0,0,0,0,0
4,2018,5,Home,ATL,W,17-41,2,2,20,10,14,0,0,0,0,0,0,0,0
5,2018,6,Away,CIN,W,28-21,5,7,26,5.2,9,0,0,0,0,0,0,0,0
6,2018,8,Home,CLE,W,18-33,2,3,9,4.5,6,0,0,0,0,0,0,0,0
7,2018,9,Away,BAL,W,23-16,2,3,53,26.5,51,0,0,0,0,0,0,0,0
8,2018,10,Home,CAR,W,21-52,1,1,8,8,8,1,0,0,0,0,0,0,0
9,2018,11,Away,JAC,W,20-16,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Away,DEN,L,17-24,4,4,35,8.8,13,0,0,0,0,0,0,0,0
11,2018,13,Home,LAC,L,33-30,1,3,7,7,7,0,0,0,0,0,0,0,0
12,2018,14,Away,OAK,L,21-24,2,2,28,14,22,0,0,0,0,0,0,0,0
13,2018,15,Home,NE,W,10-17,1,1,9,9,9,0,0,0,0,0,0,0,0
14,2018,16,Away,NO,L,28-31,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Home,CIN,W,13-16,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Away,ARI,T,27-27,1,1,15,15,15,0,0,0,0,0,0,0,0
1,2019,2,Home,LAC,W,10-13,3,4,18,6,7,0,0,0,0,0,0,0,0
2,2019,3,Away,PHI,W,27-24,1,1,13,13,13,0,0,0,0,0,0,0,0
3,2019,4,Home,KC,L,34-30,0,1,0,0,0,0,0,0,0,0,0,0,0
4,2019,6,Away,GB,L,22-23,1,1,8,8,8,0,0,0,0,0,0,0,0
5,2019,7,Home,MIN,L,42-30,1,4,7,7,7,0,0,0,0,0,0,0,0
6,2019,8,Home,NYG,W,26-31,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,9,Away,OAK,L,24-31,1,2,3,3,3,0,0,0,0,0,0,0,0
8,2019,10,Away,CHI,L,13-20,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Home,DAL,L,35-27,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Away,WAS,L,16-19,1,1,7,7,7,0,0,0,0,0,0,0,0
11,2019,13,Home,CHI,L,24-20,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Away,MIN,L,7-20,1,2,23,23,23,0,0,0,0,0,0,0,0
13,2019,15,Home,TB,L,38-17,3,5,31,10.3,13,0,0,0,0,0,0,0,0
14,2019,16,Away,DEN,L,17-27,1,1,12,12,12,0,0,0,0,0,0,0,0
15,2019,17,Home,GB,L,23-20,2,3,5,2.5,7,0,0,0,0,0,0,0,0
