,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Away,DEN,L,13-19,1,2,15,15,15,0,0,0,0,0,0,0,0
1,2015,2,Away,OAK,L,33-37,1,1,8,8,8,0,0,0,0,0,0,0,0
2,2015,3,Home,CIN,L,28-24,3,7,44,14.7,28,0,0,0,0,0,0,0,0
3,2015,4,Away,PIT,W,23-20,2,4,17,8.5,10,0,0,0,0,0,0,0,0
4,2015,5,Home,CLE,L,33-30,1,1,0,0,0,0,0,0,0,0,0,0,0
5,2015,6,Away,SF,L,20-25,4,4,24,6,11,0,0,0,0,0,0,0,0
6,2015,7,Home,BAL,L,18-26,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2015,8,Home,SD,W,26-29,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2015,10,Home,JAC,L,22-20,4,4,40,10,21,1,0,0,0,0,0,0,0
9,2015,11,Home,STL,W,13-16,3,4,20,6.7,12,0,0,0,0,0,0,1,0
10,2015,12,Away,CLE,W,33-27,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2015,13,Away,MIA,L,13-15,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2015,14,Home,SEA,L,35-6,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2015,15,Home,KC,L,34-14,5,6,31,6.2,13,0,0,0,0,0,0,0,0
14,2015,16,Home,PIT,W,17-20,2,5,16,8,9,0,0,0,0,0,0,0,0
15,2015,17,Away,CIN,L,16-24,6,10,53,8.8,15,0,0,0,0,0,0,0,0
0,2016,1,Home,BUF,W,7-13,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016,2,Away,CLE,W,25-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,3,Away,JAC,W,19-17,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,4,Home,OAK,L,28-27,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016,5,Away,BAL,L,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,NYG,L,23-27,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,7,Away,NYJ,L,16-24,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,9,Away,BAL,W,14-21,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,10,Away,BAL,W,7-28,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2016,11,Away,DAL,L,17-27,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Away,BAL,W,14-19,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2016,13,Away,BAL,W,6-38,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2016,14,Away,NE,L,23-30,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2016,15,Away,BAL,W,26-27,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2016,16,Away,PIT,L,27-31,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2016,17,Away,CIN,L,10-27,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2017,1,Away,CIN,W,20-0,1,1,5,5,5,0,0,0,0,0,0,0,0
1,2017,2,Home,CLE,W,10-24,4,4,21,5.3,13,0,1,2,2,2,0,0,0
2,2017,3,Away,JAC,L,7-44,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,BAL,L,26-9,-,-,-,-,-,-,-,-,-,-,-,-,-
