,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,CAR,W,30-27,69,23,39,59,186,4.8,1,1,1,4,0,0,3,0,1,0
1,2019,2,Home,NO,W,9-27,112.6,19,28,67.9,283,10.1,1,0,3,4,-2,-0.5,1,1,1,1
2,2019,3,Away,CLE,W,20-13,79.7,24,38,63.2,268,7.1,2,2,2,4,14,3.5,8,0,1,1
3,2019,4,Home,TB,L,55-40,80.3,45,68,66.2,517,7.6,2,3,2,0,0,0,0,0,1,1
4,2019,5,Away,SEA,L,29-30,83.3,29,49,59.2,395,8.1,1,1,0,1,1,1,1,0,0,0
5,2019,6,Home,SF,L,20-7,60.8,13,24,54.2,78,3.3,0,0,4,1,0,0,0,0,2,1
6,2019,7,Away,ATL,W,37-10,99.8,22,37,59.5,268,7.2,2,0,0,3,3,1,2,1,0,0
7,2019,8,Home,CIN,W,10-24,119.3,17,31,54.8,372,12,2,0,0,0,0,0,0,0,0,0
8,2019,10,Away,PIT,L,12-17,51.2,22,41,53.7,243,5.9,0,2,4,1,0,0,0,0,3,1
9,2019,11,Home,CHI,W,7-17,69.9,11,18,61.1,173,9.6,0,1,0,3,3,1,5,0,0,0
10,2019,12,Home,BAL,L,45-6,62,26,37,70.3,212,5.7,0,2,2,1,-1,-1,-1,0,1,0
11,2019,13,Away,ARI,W,34-7,120.7,32,43,74.4,424,9.9,2,0,1,0,0,0,0,0,0,0
12,2019,14,Home,SEA,W,12-28,95.2,22,31,71,293,9.5,2,2,0,2,4,2,5,0,0,0
13,2019,15,Away,DAL,L,21-44,84.1,33,51,64.7,284,5.6,2,1,2,3,2,0.7,3,0,0,0
14,2019,16,Away,SF,L,31-34,85.7,27,46,58.7,323,7,2,1,0,4,12,3,5,0,0,0
15,2019,17,Home,ARI,W,24-31,107.5,29,45,64.4,319,7.1,3,0,1,2,4,2,5,0,0,0
