,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
11,2017,13,Home,PIT,L,23-20,13,77,5.9,13,0,2,3,19,9.5,16,0,0,0
12,2017,14,Home,CHI,L,33-7,11,62,5.6,21,0,6,8,68,11.3,27,0,0,0
13,2017,15,Away,MIN,L,7-34,14,30,2.1,4,1,3,5,13,4.3,12,0,0,0
14,2017,16,Home,DET,W,17-26,23,116,5,25,1,7,7,52,7.4,15,0,0,0
15,2017,17,Away,BAL,W,31-27,10,52,5.2,21,0,6,9,18,3,11,0,0,0
0,2018,1,Away,IND,W,34-23,1,-2,-2,-2,0,1,1,11,11,11,0,0,0
1,2018,2,Home,BAL,W,23-34,6,27,4.5,11,0,4,7,15,3.8,8,0,0,0
2,2018,3,Away,CAR,L,21-31,12,61,5.1,23,1,5,9,25,5,8,0,0,0
3,2018,4,Away,ATL,W,37-36,15,69,4.6,14,2,4,4,27,6.8,17,0,0,0
4,2018,5,Home,MIA,W,17-27,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Home,PIT,L,28-21,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Away,KC,L,10-45,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,8,Home,TB,W,34-37,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Home,NO,L,51-14,2,6,3,4,0,2,3,30,15,26,0,0,0
9,2018,11,Away,BAL,L,21-24,2,5,2.5,3,0,4,4,20,5,8,0,0,0
10,2018,12,Home,CLE,L,35-20,1,10,10,10,0,1,1,12,12,12,0,0,0
11,2018,13,Home,DEN,L,24-10,5,14,2.8,4,0,6,8,32,5.3,16,0,0,0
12,2018,14,Away,LAC,L,21-26,3,7,2.3,6,0,2,2,13,6.5,9,0,0,0
13,2018,15,Home,OAK,W,16-30,6,7,1.2,6,0,2,2,25,12.5,22,0,0,0
14,2018,16,Away,CLE,L,18-26,0,0,0,0,0,2,2,0,0,4,0,0,0
15,2018,17,Away,PIT,L,13-16,3,7,2.3,4,0,2,5,8,4,9,0,0,0
0,2019,1,Away,SEA,L,20-21,7,21,3,11,0,2,3,42,21,35,0,1,0
1,2019,2,Home,SF,L,41-17,6,6,1,5,0,1,3,7,7,7,0,0,0
2,2019,3,Away,BUF,L,17-21,3,5,1.7,4,0,2,2,7,3.5,5,0,0,0
3,2019,4,Away,PIT,L,3-27,1,3,3,3,0,4,6,16,4,11,0,0,0
4,2019,5,Home,ARI,L,26-23,2,10,5,9,0,3,3,16,5.3,7,0,0,0
5,2019,6,Away,BAL,L,17-23,4,4,1,2,0,2,3,20,10,14,0,0,0
6,2019,7,Home,JAC,L,27-17,4,0,0,2,0,2,3,4,2,4,0,0,0
7,2019,8,Away,LAR,L,10-24,3,31,10.3,25,0,2,2,14,7,11,0,0,0
8,2019,10,Home,BAL,L,49-13,4,8,2,8,0,1,1,0,0,0,0,1,1
9,2019,11,Away,OAK,L,10-17,3,30,10,18,0,1,3,16,16,16,0,0,0
10,2019,12,Home,PIT,L,16-10,1,-1,-1,-1,0,3,3,31,10.3,14,0,0,0
11,2019,13,Home,NYJ,W,6-22,1,4,4,4,0,1,2,8,8,8,0,0,0
12,2019,14,Away,CLE,L,19-27,4,15,3.8,13,0,2,3,31,15.5,26,0,0,0
13,2019,15,Home,NE,L,34-13,5,27,5.4,17,0,2,2,10,5,9,0,0,0
14,2019,16,Away,MIA,L,35-38,2,3,1.5,3,0,2,3,12,6,9,0,0,0
15,2019,17,Home,CLE,W,23-33,3,4,1.3,5,0,0,1,0,0,0,0,0,0
